Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on June 14, 2018",Amazon CustomerAmazon Customer,yes,-,Pleased with purchase,"I received my Grill Brush promptly and on time for a big cookout that I had for family & friends.  My grill has never been cleaner, big fan of the scrapper!",5,https://images-na.ssl-images-amazon.com/images/I/81bF54TtawL.jpg,-,https://www.amazon.com/gp/customer-reviews/R12TPZA1GLO09/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on June 16, 2020",Shar,yes,-,Great product,Really nice brush comes in super nice package . Great product .,5,-,-,https://www.amazon.com/gp/customer-reviews/R3IBNO0810N12S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on June 23, 2020",Sheila sadler,yes,-,Impressed,More heavy duty than expectedOnly used once but impressed,5,-,-,https://www.amazon.com/gp/customer-reviews/R3E2MOZUDZ3NGG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on May 27, 2020",K2,yes,-,Great product,"Great bbq brush! No bristles, cleans great and easy to clean.",5,-,-,https://www.amazon.com/gp/customer-reviews/R2ZRGZP38MZV3W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on September 4, 2020",nancylhull,yes,-,Perfect tool for cleanig the grill.,As I said above.,5,-,-,https://www.amazon.com/gp/customer-reviews/R34KNECIR6PLDY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on June 5, 2018",Dale VinkDale Vink,yes,-,Awesome grill brush,Awesome grill brush. Works great and I don’t need to worry about bristles in my steak. Ordering was also quick and easy. Definitely recommend this grill brush.,5,https://images-na.ssl-images-amazon.com/images/I/81QDSJnAyVL.jpg,-,https://www.amazon.com/gp/customer-reviews/RNQHUEIKYF055/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on July 28, 2018",Susan Miller,yes,-,Love it! Able to effectively clean grill with same,Long handle.  No bristles to fall off and get into food.  Love it!Able to effectively clean grill with same tool,5,-,-,https://www.amazon.com/gp/customer-reviews/R3GVA832U4X7JU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on September 5, 2019",Nick Kogelman,yes,-,Well made but couldn't get a grill clean quickly,"Well made but just hard to get a grill clean with the extremely rigid design. There's no give on the head of the ""brush"" meaning a lot less surface area comes in contact with the grill making it hard to get a medium to large grill clean.",2,-,-,https://www.amazon.com/gp/customer-reviews/R3743AN9ZC3NEN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on August 10, 2018",Rick,yes,-,Safe grill brush,Very sturdy girl brush used it twice so far seems to work great would definitely buy again,5,-,-,https://www.amazon.com/gp/customer-reviews/R2HYVRYEJQ619Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on June 12, 2018",Cesar S,yes,-,... the concept at first but this grill brush works great. Would definitely buy again,I wasn’t certain about the concept at first but this grill brush works great. Would definitely buy again.,5,-,-,https://www.amazon.com/gp/customer-reviews/R21R5KI0WZN47G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on May 26, 2020",Margie Weiand,yes,-,Not bristles and ease of use,Pass,5,-,-,https://www.amazon.com/gp/customer-reviews/R9G4JX022KFQV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on July 14, 2020",randy k,yes,-,Too Stiff For BBQ Cleaning,"Looks great - and appears durable.  However, brush is so still it simply does not clean the grill grates.",2,-,-,https://www.amazon.com/gp/customer-reviews/R10IH2P4HCCBSU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on September 2, 2018",RICHDNJ,yes,-,As advertised,I use it on my grates.works well,5,-,-,https://www.amazon.com/gp/customer-reviews/R2SY3K8UKVMVLY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on October 12, 2018",Lou Castro,-,-,"A safe , functional grill brush that maintains its efficiency while using a safer design.","Got to tell you straight up, the good folks at Kitchen Ready sent me a grill brush to try out.  I own a BBQ rub company and BBQ every weekend to make live Face Book videos to promote our products.  Some very good friends of mine were just featured in the local paper because their 7 year old son swallowed a wire bristle from a standard grill brush.  One second enjoying some BBQ chicken with family and the next, headed to the hospital.  They had to take him 3 hours away to Driscoll Children's hospital where he under went surgery to successfully remove it from deep in his esophagus.  What a terrifying situation!  I would find a deep dark corner to lie in for the rest of my life if I had been manning the grill that night.  With the Kitchen Ready bristle free grill brush, there is no more worry.  BBQ , eat and enjoy!Lou CastroTXQ RUBS",5,-,-,https://www.amazon.com/gp/customer-reviews/R3RAM2MHZ0H8UM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on June 15, 2020",John Stuive,-,-,GreAt product just in time for summer grilling,Liked it so much that we bought a bunch of the brushes (along with KItchenReady’s kitchen gloves) to give as part of a summer grilling goodie bag for friends,5,-,-,https://www.amazon.com/gp/customer-reviews/R22Q8CJ5HU00CP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on April 24, 2019",Jennifer D.,-,-,Great buy and much saver,Wow.... Just wow. I absolutely love this brush . I been looking to get away from the cheap grill brushes and trying to find something saver for my family. I absolutely love this brush . Cleans my grill and is very durable .,5,-,-,https://www.amazon.com/gp/customer-reviews/R2PP7IAW03ZTZ3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on November 15, 2019",k cordle,-,-,Best grill brush around,Buying a second brush these work great,5,-,-,https://www.amazon.com/gp/customer-reviews/R2RNWLSLFX6S2U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on March 8, 2019",Yvonne Tetterton,-,-,Cleans!!,My husband loves it! Works great on our new grill,5,-,-,https://www.amazon.com/gp/customer-reviews/R1BIXY52QKT2IL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on July 28, 2018",Andrew M.,-,-,Great Scraper,Works great.  Scraper is a nice size and it perfect to clean between the grates. I also like that there are no bristles to get in our food.,5,-,-,https://www.amazon.com/gp/customer-reviews/R2MJUMXM6UR9K0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on June 19, 2018",EricEric,-,-,Cleans well and doesn't clog,-,5,"https://images-na.ssl-images-amazon.com/images/I/810Ol7ZbKIL.jpg , https://images-na.ssl-images-amazon.com/images/I/81KJ6ycLp0L.jpg",-,https://www.amazon.com/gp/customer-reviews/RN8OBAC03AQQA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on July 20, 2020",Ben,yes,-,Very good scrubber,Better than expected. Seems to be very sturdy and will not melt like the other scrubbers.,5,-,-,https://www.amazon.com/gp/customer-reviews/R3TZNWMKXJGF3C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on May 26, 2020",Amazon Customer,yes,-,Great Grill Brush,"Best grill brush I’ve owned, and there’s no chance of loose bristles on your grill.",5,-,-,https://www.amazon.com/gp/customer-reviews/R38ETP26ITFZW7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
"Reviewed in the United States on July 9, 2020",Kristen Smith,yes,-,Perfect grill brush,Perfect product. We are new grill owners and bought the traditional bristle brush for cleaning. My husband was freaked out by all the metallic “glitter” that seemed to go everywhere when cleaning. So I got on amazon and found this brush and it is perfect. It gets the grill super clean easily and without risking our health.,5,-,-,https://www.amazon.com/gp/customer-reviews/R1EZFCHB3AVI5O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07CKHWWX1,-,-
Starter Plan or higher is required in order to access reviews beyond 100.
Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on June 11, 2017",Amanda B,yes,yes,"So natural, so pure. I'll never go back.","I am always looking for less toxic products.  After researching the ingredients on so many ""natural"" or ""organic"" products that I already owned, I was really shocked to find out what was in them.  Many of them that were certified organic by USDA contained known carcinogens as well as other nasty chemicals.  I checked out each ingredient that goes into this product, I can say that I have finally found a dish soap that I can trust.  We will no longer be drinking from cups and eating from plates and silverware that have been washed with ingredients that are capable of causing cancer.  I am also happy that this product is safe for our septic and waterways.  I will say that the price seemed very steep for an 8oz bottle of soap, but a little bit of this stuff goes a LONG way.  Just a couple of drops washed an entire sink full of dishes.  I was also pleasantly surprised at how well just a few drops in the dishwasher did.If you are using another ""natural"" dish soap, I would recommend that you research all of the ingredients.  You might be shocked to find what is actually in there.  If you need a truly pure, natural, safe dish soap I would highly recommend that you give this one a try.",5,-,-,https://www.amazon.com/gp/customer-reviews/RKUDXAVWHH873/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0711WHLCQ,-,-
"Reviewed in the United States on June 17, 2017",JohnJohn,yes,yes,Works perfect. Better than advertised!,"My wife and I purchased the Eco Safe Dishwash liquid due to its eco friendly, true green organic makeup. After using the product, we have found it to be a fantastic product. We simply use a teaspoon in our dishwasher and our plates, silverware and especially our glassware comes out sparkling clean with no soapy residue or water spots! Very happy with the performance of this product. Also, I tried a teaspoon of it with hot water to wash my windshield and it worked perfect. Highly recommend this organic product.",5,https://images-na.ssl-images-amazon.com/images/I/71iTfx1larL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2WG5S5WQU82TJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0711WHLCQ,B0711WHLCQ,Scent: Lemon | Size: 16 Fl Oz (Pack of 1)
